full_address,name,salesman
"516 8TH AVE W, SISSTON, SD 57262",SISSETON SCHOOL DISTRICT 54-2,Paul Fiereck
"234 #1 SCHOOL ST, LITTLE EAGLE, SD 57639",SITTING BULL SCHOOL,Paul Fiereck
"12250 SD HWY1806, WAKAPALA, SD 57658",SMEE  WAKAPALA,Paul Fiereck
"200 Hansina AVE, Volga, SD? 57071",SOUIX VALLEY SCHOOL DISTRICT #328-01,Paul Fiereck
"PO BOX 228, PLATTE, SD 57369",SOUTH CENTRAL SCHOOL DISTRICT 26-5,Paul Fiereck
"423 17TH AVE SE, ABERDEEN, SD 57401",SOUTH DAKOTA SCHOOL FOR THE BLIND AND VISUALLY IMPARED,Paul Fiereck
"2001 EAST 8TH ST, SIOUX FALLS, SD 57103",SOUTH DAKOTA SCHOOL FOR THE DEAF,Paul Fiereck
"1109 W CEDAR, BERESFORD, SD 57004",SOUTH EAST AREA COOPERATIVE,Paul Fiereck
"252 E ILLINOIS, SPEARFISH, SD 57783",SPEARFISH SCHOOL DISTRICT 40-2,Paul Fiereck
"807 NE BROADWAY ROOM 304, MINNEAPOLIS, MN 55413",SPECIAL SCHOOL DISTRICT NO. 1,Paul Fiereck
"502 East Warrior Drive, ST FRANCIS, SD 57572",ST FRANCIS INDIAN SCHOOL,Paul Fiereck
"812 N STATE AVE, DELL RAPIDS, SD 57022",ST MARYS CATHOLIC SCHOOL,Paul Fiereck
"03 E 2ND AVE, FT. PIERRE, SD 57532",STANLEY SCOUNTY 57-1,Paul Fiereck
"16 1st St, ADAMS, MN 55909",Steve Nagele,Paul Fiereck
"506 EAST MAIN ST, STICKNEY, SD 57374",STICKNEY PUBLIC SCHOOL,Paul Fiereck
"450 Christina CT, Zumbro Falls, MN 55991",Kennedy Transportation LLC,Paul Fiereck
"400 W SHERMAN AVE, SUMMIT, SD 57266",SUMMIT SCHOOL DISTRICT 54-6,Paul Fiereck
"400 SUNSHINE DR, MILLER, SD 57362",SUNSHINE BIBLE ACADEMY,Paul Fiereck
"131 N POPLAR AVE, TEA, SD 57064",TEA AREA SCHOOL DISTRICT,Paul Fiereck
"500 MAIN ST/ po box 1000, TIMBER LAKE, SD 57656",TIMBER LAKE SCHOOL,Paul Fiereck
"46450 252 ST, COLTON, SD 57018",TRI VALLEY SCHOOL DISTRICT,Paul Fiereck
,TRI-VALLEY OPPORTUNITY,Paul Fiereck
"105 S SLOAN, TRIPP, SD 57376",TRIPP-DELMONT SCHOOL DISTRICT,Paul Fiereck
"203 WEST PARK AVE, VIBORG, SD 57070",VIBORG-HURLEY PUBLIC SCHOOL,Paul Fiereck
